Diagnostics file output:

 WARNING: WATER VELOCITY CONV. FAILED, T=   1.0000000000000000E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   1.0000000000000000E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   1.4999999999999999E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   1.4999999999999999E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   2.0000000000000000E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   2.0000000000000000E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   2.5000000000000001E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   2.5000000000000001E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   3.0000000000000002E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   3.0000000000000002E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   3.5000000000000003E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   3.5000000000000003E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   4.0000000000000001E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   4.0000000000000001E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   4.4999999999999998E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   4.4999999999999998E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   4.9999999999999996E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   4.9999999999999996E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   5.4999999999999993E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   5.4999999999999993E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   5.9999999999999991E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   5.9999999999999991E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   6.4999999999999988E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   6.4999999999999988E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   6.9999999999999993E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   6.9999999999999993E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   7.4999999999999997E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   7.4999999999999997E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   8.0000000000000002E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   8.0000000000000002E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   8.5000000000000006E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   8.5000000000000006E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   9.0000000000000011E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   9.0000000000000011E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   9.5000000000000015E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=   9.5000000000000015E-002
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.10000000000000002     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.10000000000000002     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.10500000000000002     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.10500000000000002     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.11000000000000003     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.11000000000000003     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.11500000000000003     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.11500000000000003     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.12000000000000004     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.12000000000000004     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.12500000000000003     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.12500000000000003     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.13000000000000003     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.13000000000000003     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.13500000000000004     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.13500000000000004     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.14000000000000004     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.14000000000000004     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.14500000000000005     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.14500000000000005     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.15000000000000005     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.15000000000000005     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.15500000000000005     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.15500000000000005     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.16000000000000006     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.16000000000000006     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.16500000000000006     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.16500000000000006     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.17000000000000007     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.17000000000000007     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.17500000000000007     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.17500000000000007     
 WARNING: WATER VELOCITY CONV. FAILED, T=  0.18000000000000008     
